Component,Lambda,Metric,Value,CI
A,1.00,pop,9.023668,0.2912192936238683
A,1.00,rt,2.501374,0.07815569822154472
A,1.00,thr,3.601789,0.007457749786202437
A,1.00,util,0.900497,0.0021966367247317673
A,1.00,wait,2.251346,0.07794771967021828
B,1.00,pop,0.960002,0.002890461966716746
B,1.00,rt,0.799709,0.001746669205996571
B,1.00,thr,1.200588,0.002325700248650433
B,1.00,util,0.616986,0.0013015325539341325
B,1.00,wait,0.000000,0.0
P,1.00,pop,5.299267,0.129006871150988
P,1.00,rt,4.410229,0.10444092515379026
P,1.00,thr,1.200583,0.0023101566667627555
P,1.00,util,0.841151,0.002443948058226536
P,1.00,wait,3.709517,0.10364681325161106
System,1.00,pop,15.274367,0.37360720439316797
System,1.00,rt,12.707957,0.2949151042615286
System,1.00,thr,1.200584,0.002319410043471186
System,1.00,util,0.993906,3.1070477185136844E-4
A,2.00,pop,8.893147,0.29119153407216314
A,2.00,rt,2.468641,0.07802754241212469
A,2.00,thr,3.596567,0.007349204930888928
A,2.00,util,0.898757,0.0021915946355318128
A,2.00,wait,2.218728,0.07785618781032135
B,2.00,pop,1.375664,0.004888239575057234
B,2.00,rt,1.147608,0.00302170132697081
B,2.00,thr,1.198871,0.0025836325416384843
B,2.00,util,0.695907,0.0013512066395767667
B,2.00,wait,0.347849,0.0013770708513855781
P,2.00,pop,5.164737,0.11789434462521294
P,2.00,rt,4.303777,0.09236371838419696
P,2.00,thr,1.198862,0.0026129732116512813
P,2.00,util,0.838131,0.002409755289781356
P,2.00,wait,3.604571,0.09169094856600793
System,2.00,pop,15.432617,0.3568756352156571
System,2.00,rt,12.855777,0.2777879191153902
System,2.00,thr,1.198861,0.00261961682402345
System,2.00,util,0.994961,2.978486587434559E-4
A,3.00,pop,8.920004,0.2916104120133663
A,3.00,rt,2.476059,0.07810895412669103
A,3.00,thr,3.596571,0.0073571737580096445
A,3.00,util,0.898782,0.0021901350334776475
A,3.00,wait,2.226146,0.07793792206306031
B,3.00,pop,1.788536,0.007113924011863737
B,3.00,rt,1.491946,0.0045118247259907035
B,3.00,thr,1.198870,0.002582296615066867
B,3.00,util,0.749107,0.0014562534658541359
B,3.00,wait,0.692187,0.002901292100437891
P,3.00,pop,5.158797,0.11848398597209917
P,3.00,rt,4.298811,0.09294327879479568
P,3.00,thr,1.198861,0.0026135756636729095
P,3.00,util,0.838138,0.002409708896538421
P,3.00,wait,3.599605,0.0922903344644003
System,3.00,pop,15.866032,0.359254596029775
System,3.00,rt,13.217360,0.2791803055976543
System,3.00,thr,1.198860,0.0026191876146558885
System,3.00,util,0.995920,2.659755097389931E-4
A,4.00,pop,8.921341,0.290251402960459
A,4.00,rt,2.476442,0.07772064326135718
A,4.00,thr,3.596565,0.007341361914109669
A,4.00,util,0.898760,0.002189076188661481
A,4.00,wait,2.226529,0.0775491335312486
B,4.00,pop,2.202370,0.009822584724324138
B,4.00,rt,1.837112,0.00638495945479224
B,4.00,thr,1.198870,0.0025837863047347654
B,4.00,util,0.787704,0.0015434590055919118
B,4.00,wait,1.037353,0.004804870868567983
P,4.00,pop,5.147642,0.11683244820824923
P,4.00,rt,4.289688,0.09165394032289366
P,4.00,thr,1.198860,0.0026116127739201894
P,4.00,util,0.838130,0.0024097332768291545
P,4.00,wait,3.590483,0.09097341579772353
System,4.00,pop,16.270577,0.35941929715718735
System,4.00,rt,13.554966,0.2786881144796741
System,4.00,thr,1.198859,0.002617321249845398
System,4.00,util,0.996531,2.447589414475684E-4
A,5.00,pop,8.935962,0.2863082958068929
A,5.00,rt,2.480550,0.07661479677159257
A,5.00,thr,3.596563,0.007353667111942762
A,5.00,util,0.898751,0.002188924696403467
A,5.00,wait,2.230637,0.076445019953734
B,5.00,pop,2.619740,0.012990949472012198
B,5.00,rt,2.185178,0.008516554856400498
B,5.00,thr,1.198869,0.002581703017819466
B,5.00,util,0.816411,0.0016020428636031954
B,5.00,wait,1.385419,0.0069712310018916835
P,5.00,pop,5.154968,0.11823765801414338
P,5.00,rt,4.295726,0.0927633957410902
P,5.00,thr,1.198859,0.002614768812286541
P,5.00,util,0.838117,0.0024092532386577603
P,5.00,wait,3.596521,0.09209811165967366
System,5.00,pop,16.709673,0.35660347236721224
System,5.00,rt,13.921191,0.2758988975012588
System,5.00,thr,1.198858,0.0026193829043784055
System,5.00,util,0.996965,2.2151527612859076E-4
A,6.00,pop,8.946032,0.2838197921762594
A,6.00,rt,2.483382,0.07591898534905006
A,6.00,thr,3.596549,0.0073473569117799556
A,6.00,util,0.898764,0.0021875336745936103
A,6.00,wait,2.233469,0.07574693414996608
B,6.00,pop,3.035131,0.016142173709405485
B,6.00,rt,2.531567,0.01067786354156083
B,6.00,thr,1.198868,0.0025847812641627606
B,6.00,util,0.838283,0.0015955400006476461
B,6.00,wait,1.731808,0.00917442357069958
P,6.00,pop,5.160706,0.11809103100211253
P,6.00,rt,4.300400,0.09249300006666861
P,6.00,thr,1.198858,0.0026167373490755047
P,6.00,util,0.838137,0.002412063084884282
P,6.00,wait,3.601195,0.0918216229394255
System,6.00,pop,17.141278,0.35602625809722327
System,6.00,rt,14.281163,0.27458068579302036
System,6.00,thr,1.198856,0.002622145508205801
System,6.00,util,0.997273,2.0843481324387599E-4
A,7.00,pop,8.959071,0.2856651193777168
A,7.00,rt,2.487022,0.0764476548914991
A,7.00,thr,3.596556,0.007358587559621394
A,7.00,util,0.898761,0.0021871237508480053
A,7.00,wait,2.237109,0.07627583835953067
B,7.00,pop,3.450852,0.020146661292669583
B,7.00,rt,2.878156,0.013492920548476383
B,7.00,thr,1.198868,0.002584477941259578
B,7.00,util,0.854934,0.0016252118969791102
B,7.00,wait,2.078397,0.012033468635815607
P,7.00,pop,5.160299,0.11585671739836398
P,7.00,rt,4.300273,0.09082551672910782
P,7.00,thr,1.198857,0.002613379011128321
P,7.00,util,0.838127,0.002409273148876157
P,7.00,wait,3.601067,0.0901504992789385
System,7.00,pop,17.569684,0.3600931898859558
